lad_name,gt_id,gt_page_id,gt_globe,gt_primary,gt_lat,gt_lon,gt_dim,gt_type,gt_name,gt_country,gt_region,page_id,page_namespace,page_title,page_restrictions,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
Kensington and Chelsea,648962977,782302,earth,1,51.4975,-0.17472222,1000,landmark,NULL,GB,NULL,782302,0,Newcomen_Society,NA,0,0,0.594205716436,20201216212348,20201108084836,987382941,3309,wikitext,NULL
Kensington and Chelsea,648978894,2107973,earth,1,51.48722222,-0.15527778,1000,landmark,NULL,GB,NULL,2107973,0,Ranelagh_Gardens,NA,0,0,0.413994033979,20201228090145,20201228111857,958557456,7349,wikitext,NULL
Kensington and Chelsea,648989634,2923985,earth,1,51.4948,-0.1827,1000,landmark,NULL,GB,KEC,2923985,0,"Gloucester_Road,_London",NA,0,0,0.868998083667,20201228090148,20201228105147,970975931,3877,wikitext,NULL
Kensington and Chelsea,648989716,48883266,earth,1,51.4885,-0.1659,1000,NULL,NULL,NULL,NULL,48883266,0,Chelsea_Potter,NA,0,0,0.620345235084,20201224114605,20201224110751,845924637,4345,wikitext,NULL
Kensington and Chelsea,648994310,49471241,earth,1,51.493384,-0.175891,1000,landmark,NULL,GB,KEC,49471241,0,Zetland_Arms,NA,0,0,0.601475905524,20201224114605,20201224110752,992355822,5611,wikitext,NULL
Kensington and Chelsea,648994326,49476383,earth,1,51.5022,-0.1877,1000,NULL,NULL,NULL,NULL,49476383,0,"The_Goat,_Kensington",NA,0,0,0.048022239297,20201224114605,20201224110752,992156501,7762,wikitext,NULL
Kensington and Chelsea,648995011,355091,earth,1,51.490616,-0.195848,1000,NULL,NULL,NULL,NULL,355091,0,Earl's_Court,NA,0,0,0.384163548417,20210101005334,20210101010607,997080119,44721,wikitext,NULL
Kensington and Chelsea,648996028,1105248,earth,1,51.4991,-0.2116,10000,NULL,NULL,GB,NULL,1105248,0,West_London_line,NA,0,0,0.086457924639,20210101005348,20210101005840,995520962,39254,wikitext,NULL
Kensington and Chelsea,648996037,1105248,earth,0,51.5168,-0.2233,500,landmark,NULL,GB,NULL,1105248,0,West_London_line,NA,0,0,0.086457924639,20210101005348,20210101005840,995520962,39254,wikitext,NULL
Kensington and Chelsea,648996041,1105248,earth,0,51.4986,-0.2108,500,NULL,NULL,GB,NULL,1105248,0,West_London_line,NA,0,0,0.086457924639,20210101005348,20210101005840,995520962,39254,wikitext,NULL
Kensington and Chelsea,648996075,49590592,earth,1,51.50206,-0.18679,1000,landmark,NULL,GB,NULL,49590592,0,Milestone_Hotel,NA,0,0,0.71266053893,20201216215758,20201215225640,994478655,2942,wikitext,NULL
Kensington and Chelsea,648998865,25431974,earth,1,51.5016,-0.1588,1000,landmark,NULL,GB,NULL,25431974,0,The_Park_Tower_Knightsbridge_Hotel,NA,0,0,0.083994861307,20201221054917,20201221060352,985473652,2980,wikitext,NULL
Kensington and Chelsea,649002120,50425581,earth,1,51.4915,-0.1691,1000,landmark,NULL,GB,KEC,50425581,0,Sutton_Dwellings,NA,0,0,0.733952794624,20201216215824,20201210142348,973925360,10187,wikitext,NULL
Kensington and Chelsea,649002123,50426778,earth,1,51.4918,-0.1641,1000,NULL,NULL,NULL,NULL,50426778,0,Sloane_Avenue_Mansions,NA,0,0,0.863160729812,20201216215824,20201208124540,981216895,3129,wikitext,NULL
Kensington and Chelsea,649005360,50809968,earth,1,51.4861,-0.1802,1000,NULL,NULL,NULL,NULL,50809968,0,"Goat,_Chelsea",NA,0,0,0.566758174785,20201224114605,20201224110751,972975197,4214,wikitext,NULL
Kensington and Chelsea,649011254,54732,earth,1,51.5,-0.19,1000,NULL,NULL,NULL,NULL,54732,0,Kensington,NA,0,0,0.402981198768114,20210101005333,20210101005856,995087638,18477,wikitext,NULL
Kensington and Chelsea,649013293,8177789,earth,1,51.4936,-0.1576,1000,NULL,NULL,NULL,NULL,8177789,0,Cadogan_Hall,NA,0,0,0.388435234875,20201228090202,20201228125405,940078660,6776,wikitext,NULL
Kensington and Chelsea,649014841,1205580,earth,1,51.5013,-0.1921,1000,landmark,NULL,GB,KEC,1205580,0,Biba,NA,0,0,0.359702975555,20201228045437,20201228045844,996705045,16994,wikitext,NULL
